,citedby-count,type,date,doi,journal_name,subtype,Name,ORCID,author_scid,publication_id,given_name,surname,author_order,coauthor_scopus_id,affiliation_ids
0,0,Journal,2023-01-01,10.1007/s11749-022-00843-w,Test,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85146227890,Diego,Battagliese,1,58064234600,60010110
1,0,Journal,2023-01-01,10.1007/s11749-022-00843-w,Test,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85146227890,Clara,Grazian,2,56025986500,"60025709,60025709"
2,0,Journal,2023-01-01,10.1007/s11749-022-00843-w,Test,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85146227890,Brunero,Liseo,3,6506244078,60032350
3,0,Journal,2023-01-01,10.1007/s11749-022-00843-w,Test,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85146227890,Cristiano,Villa,4,56074156600,60006222
4,0,Journal,2023-01-01,10.1016/j.compenvurbsys.2022.101898,"Computers, Environment and Urban Systems",Article,Clara Grazian,0000-0002-4967-7720,56025986500,85140729577,Maryam,Bostanara,1,57222153486,60028333
5,0,Journal,2023-01-01,10.1016/j.compenvurbsys.2022.101898,"Computers, Environment and Urban Systems",Article,Clara Grazian,0000-0002-4967-7720,56025986500,85140729577,Taha,Hossein Rashidi,2,57212300091,60028333
6,0,Journal,2023-01-01,10.1016/j.compenvurbsys.2022.101898,"Computers, Environment and Urban Systems",Article,Clara Grazian,0000-0002-4967-7720,56025986500,85140729577,Nazmul Arefin,Khan,3,57944830500,60028609
7,0,Journal,2023-01-01,10.1016/j.compenvurbsys.2022.101898,"Computers, Environment and Urban Systems",Article,Clara Grazian,0000-0002-4967-7720,56025986500,85140729577,Joshua,Auld,4,25654556900,60028609
8,0,Journal,2023-01-01,10.1016/j.compenvurbsys.2022.101898,"Computers, Environment and Urban Systems",Article,Clara Grazian,0000-0002-4967-7720,56025986500,85140729577,Milad,Ghasri,5,57191471756,60026708
9,0,Journal,2023-01-01,10.1016/j.compenvurbsys.2022.101898,"Computers, Environment and Urban Systems",Article,Clara Grazian,0000-0002-4967-7720,56025986500,85140729577,Clara,Grazian,6,56025986500,"60025709,124953161"
10,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Philip W.,Fowler,1,8937403500,60026851
11,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Ivan,Barilar,2,57190171083,60084828
12,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Simone,Battaglia,3,57090116900,60023516
13,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Emanuele,Borroni,4,14059423200,60023516
14,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Angela Pires,Brandao,5,7005146216,"60026004,60029705"
15,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Alice,Brankin,6,57212415028,60026851
16,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Andrea Maurizio,Cabibbe,7,55352619300,60023516
17,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Joshua,Carter,8,56016905700,60032838
18,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Daniela Maria,Cirillo,9,7005158262,60023516
19,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Pauline,Claxton,10,23059545800,101579224
20,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,David A.,Clifton,11,14036806800,60026851
21,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Ted,Cohen,12,7202415780,60005455
22,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Jorge,Coronel,13,14321305300,60071237
23,1,Journal,2022-10-01,10.1183/13993003.00239-2022,European Respiratory Journal,Article,Clara Grazian,0000-0002-4967-7720,56025986500,85142815253,Derrick W.,Crook,14,7102132624,60026851
